! '':4
! -rrb-:60
! .:6
! </s>:1518
!! -rrb-:3
!! -rsb-:1
!! .:4
!! </s>:132
!!! '':1
!!! -rrb-:2
!!! .:5
!!! </s>:82
!!!! 2:1
!!!! a:1
!!!! being:1
!!!! did:1
!!!! easy:2
!!!! finally:1
!!!! i:2
!!!! idk:1
!!!! instead:1
!!!! its:1
!!!! more:1
!!!! ok:1
!!!! purchased:1
!!!! so:1
!!!! the:1
!!!! this:5
!!!! very:1
!!!! way:1
!!!! what:1
!!!!! amazing:1
!!!!! and:1
!!!!! believe:1
!!!!! everything:1
!!!!! i:3
!!!!! no:1
!!!!! these:2
!!!!! this:1
!!!!!! as:1
!!!!!! i:2
!!!!!! love:1
!!!!!!! everything:1
!!!!!!! first:1
!!!!!!! i:1
!!!!!!!!!!! would:1
!!!!!!!!!!!!!!!!!! moreeven:1
!!!!!?????? i:1
!!!???? the:1
!? '':1
!? -rrb-:1
!? </s>:1
# !!!!:1
# $:1
# ':1
# .:1
# /:1
# 1:7
# 10:1
# 12:2
# 2:3
# 3:4
# wow:1
### gt:1
$ 4,000:1
$ 4.50:1
$ 4.95:2
$ 4.99:2
$ 40:43
$ 400:3
$ 4000.00:1
$ 45:5
$ 450:3
$ 48.00:1
$ 49.99:2
$ 5:12
$ 5.00:3
$ 5.99:1
$ 50:25
$ 50-100:1
$ 50.00:1
$ 500:14
$ 500.00:1
$ 500/channel:1
$ 55:1
$ 59:1
$ 6:4
$ 6.00:1
$ 6.99:2
$ 60:6
$ 60.00:2
$ 600:1
$ 65:1
$ 69:2
$ 69.34:1
$ 7:5
$ 7.00:2
$ 7.50:1
$ 7.95:1
$ 7.99:1
$ 70:2
$ 70-80:1
$ 700:1
$ 75:5
$ 8:3
$ 8.00:3
$ 8.59:2
$ 80:9
$ 80.00:1
$ 800:1
$ 81:1
$ 85:2
$ 89:1
$ 9:3
$ 9.80:1
$ 90:3
$ 95:1
$ 99:6
$ 99.00:2
$ 99.95:1
$ @:1
$ a:1
$ bottom:1
$ by:1
$ each:1
$ for:3
$ here:1
$ i:1
$ including:1
$ literally:1
$ more:1
$ on:3
$ or:1
$ risk:1
$ to:1
$ unless:1
$ very:1
$ you:1
% #:1
% ,:4
% -lrb-:1
% -rrb-:1
% .:6
% 100:1
% ^:1
% accuracy:1
% amazing:1
% an:1
% and:3
% authentic:1
% close:1
% copper:1
% correctly:1
% cotton:2
% does:1
% drive:1
% edited:1
% even:1
% fine:1
% for:1
% gain:1
% gear:1
% humidity:1
% humidity.i:1
% improvement:1
% is:1
% it:1
% leap:1
% leather:2
% loss:1
% louder:1
% lower:1
% mark-up:1
% more:1
% of:23
% off:1
% or:2
% output:1
% over:1
% post-consumer:1
% recomended:1
% recommend:1
% recommended:3
% recommended.battery:1
% replicate:1
% right:1
% satisfaction:2
% secure:1
% smaller:1
% sound:1
% sounding:1
% well:1
% would:1
% you:1
& $:1
& 1:1
& 1/4:1
& 12-string:1
& 2:2
& 20:1
& 350:1
& 4:1
& 8:1
& ``:1
& a:3
& ac:1
& ac4tv:1
& accurate:1
& acoustic:2
& advanced:1
& aglaesel:1
& also:1
& and:1
& are:3
& arranged:1
& artist:1
& as:4
& at:1
& attack:1
& b:2
& back:1
& band-mates:1
& better:1
& big:1
& bob:1
& boosted:1
& boss:1
& boutique:1
& breaks:1
& broken!hope:1
& build:1
& c:1
& cabsanytuneapple:1
& california:1
& can:1
& chips:1
& chorus:1
& cleaner:1
& constant:1
& country:1
& daughter-in-law:1
& de-esser:1
& dean:1
& decided:2
& decker:1
& definitely:1
& digital:1
& dirt:1
& display:1
& distortion:1
& do:2
& does:1
& down:2
& e:2
& easily:1
& easy:2
& electric:3
& error:2
& even:1
& faded:2
& fbv:1
& fender:2
& fiddling:1
& find:1
& fits:1
& flashing:1
& for:1
& frequency:1
& fun:1
& gives:1
& got:1
& grunge-free:1
& guitar:1
& had:1
& handy:1
& hardwire:1
& has:2
& have:3
& having:1
& he:2
& headstock:1
& heavy:1
& highly:1
& his:1
& hiss:1
& home:1
& i:10
& if:2
& im:1
& install:1
& instruments:1
& intelli:1
& is:2
& it:3
& its:2
& just:1
& keeping:1
& l:1
& last:1
& learn:1
& levy:1
& light:1
& lighter:1
& long:1
& lose:1
& loud:1
& m:1
& make:1
& makestransportation:1
& mandolin:1
& meets:1
& metal:2
& microphone:1
& mogami:1
& mortar:1
& most:1
& mp3:1
& much:1
& mxr:1
& my:1
& noise:1
& not:2
& off:5
& orange:1
& performing:1
& phaser:1
& play:3
& pre-amp:1
& pretty:1
& print:1
& purchased:1
& re27n/d:1
& record:1
& records:1
& rely:1
& reverb:1
& rhythm:1
& right:1
& ringy:1
& scales:1
& secure:1
& selected:1
& sensitivity:1
& shoulders:1
& slight:1
& smudges:2
& so:1
& socket:1
& some:1
& sonar:1
& sound:2
& spanky-warm:1
& stay:1
& steels:1
& sticking:1
& stop:1
& strong:1
& strumming:1
& tap:1
& tear:1
& teles:1
& tenor:2
& that:2
& the:10
& then:1
& they:1
& this:3
& though:1
& thumb.another:1
& to:2
& told:1
& trashed:1
& trim:1
& trs:1
& tuning:2
& unobtrusive:1
& unplugged:1
& up:3
& use:1
& useful:1
& violin:3
& vocals:2
& volume:1
& where:1
& will:1
& would:1
& write:1
& yes:1
& yet:1
& you:2
&#34; !:3
&#34; ,:33
&#34; ,18:1
&#34; -:2
&#34; -4:1
&#34; -lrb-:7
&#34; -rrb-:4
&#34; .:36
&#34; ...:3
&#34; 1:2
&#34; 21:1
&#34; 9:1
&#34; a:3
&#34; acoustic:1
&#34; acoustic/unamplified:1
&#34; adapters:1
&#34; adjustable:2
&#34; ah:1
&#34; alive:1
&#34; all:1
&#34; although:1
&#34; am:1
&#34; american:1
&#34; amp:3
&#34; amps:1
&#34; and:14
&#34; anyways:1
&#34; apogee:3
&#34; arm:1
&#34; as:4
&#34; aspect:1
&#34; asus:1
&#34; at:2
&#34; average:1
&#34; backplug:1
&#34; backrest:1
&#34; bag:1
&#34; balanced:1
&#34; bang-for-your-buck:1
&#34; bass:2
&#34; bassy:1
&#34; best:1
&#34; better:2
&#34; big:1
&#34; binder:1
&#34; blackface:1
&#34; bodyless:1
&#34; bounciness:1
&#34; brand:2
&#34; breaking:1
&#34; bright:2
&#34; brightness:1
&#34; broken-in:1
&#34; brown:1
&#34; buckle:1
&#34; built:1
&#34; bump:1
&#34; burn:1
&#34; but:3
&#34; button:1
&#34; buttonholes:1
&#34; c:1
&#34; cables:2
&#34; chamber:1
&#34; character:1
&#34; chasing:1
&#34; cheap:2
&#34; chip-clip:1
&#34; chords:1
&#34; chromatic:4
&#34; church:1
&#34; clean:4
&#34; click:2
&#34; clipping:1
&#34; collector:1
&#34; color:1
&#34; control:1
&#34; cool:2
&#34; cord:1
&#34; core:1
&#34; costing:1
&#34; couplers:1
&#34; course:1
&#34; crash:2
&#34; creativity:1
&#34; cut:1
&#34; d:1
&#34; daisy-chain:1
&#34; dead:2
&#34; deep:1
&#34; design:1
&#34; detune:1
&#34; dia:1
&#34; distorted:1
&#34; distortion:1
&#34; do:2
&#34; does:2
&#34; dry:1
&#34; dull:1
&#34; e:3
&#34; easily:1
&#34; echo:1
&#34; echo-like:1
&#34; econo:1
&#34; effect:1
&#34; electric:1
&#34; electrify:1
&#34; electronic:1
&#34; empty:1
&#34; end:1
&#34; engineered:1
&#34; especially:1
&#34; every:1
&#34; f:2
&#34; familiar:2
&#34; feature:2
&#34; feed:1
&#34; feel:1
&#34; feeling.i:1
&#34; feet:1
&#34; female:1
&#34; fender:2
&#34; fine:1
&#34; fingers:1
&#34; first:2
&#34; flat:1
&#34; for:2
&#34; found:1
&#34; frame:1
&#34; from:3
&#34; full:1
&#34; full-sized:1
&#34; function:2
&#34; fusion:1
&#34; gator:1
&#34; generic:1
&#34; gentle:1
&#34; gets:1
&#34; gibraltar:1
&#34; give:1
&#34; goretex:1
&#34; great:1
&#34; grip:2
&#34; guitar:5
&#34; gummy:1
&#34; hall:1
&#34; hang:1
&#34; hanging:1
&#34; hard:1
&#34; harpsichord:1
&#34; has:1
&#34; have:1
&#34; hawaiian:1
&#34; hd:2
&#34; head:1
&#34; headphones:1
&#34; hear:2
&#34; hell:1
&#34; hey:1
&#34; high:1
&#34; hobby:1
&#34; holds:1
&#34; hole:2
&#34; how:1
&#34; how-to-use:1
&#34; i:12
&#34; iec:1
&#34; if:4
&#34; impossible:1
&#34; in:6
&#34; inches:1
&#34; inputs:1
&#34; install:1
&#34; installed:1
&#34; instead:1
&#34; instrument:1
&#34; into:1
&#34; investment:1
&#34; is:8
&#34; ish:1
&#34; it:5
&#34; items:1
&#34; jack:3
&#34; jaws:1
&#34; jumbo:1
&#34; just:3
&#34; knob:1
&#34; label:1
&#34; les:1
&#34; level:1
&#34; levy:1
&#34; light:1
&#34; like:2
&#34; limit:1
&#34; lite:2
&#34; lo-fi:1
&#34; lock:2
&#34; locking:1
&#34; logo:1
&#34; long:3
&#34; low:1
&#34; lower:1
&#34; male:2
&#34; man:1
&#34; manouche:1
&#34; marshall:1
&#34; meaning:1
&#34; meaty:1
&#34; mechanism:1
&#34; medium:1
&#34; mellow:1
&#34; mentions:1
&#34; messy:1
&#34; metallic:1
&#34; mic:1
&#34; mics:1
&#34; mids:1
&#34; mighty:1
&#34; miked:1
&#34; mix:1
&#34; mode:3
&#34; model:1
&#34; model.the:1
&#34; modes:2
&#34; money:1
&#34; moniker:1
&#34; mono:1
&#34; most:1
&#34; mostly:1
&#34; motif:1
&#34; must-have:1
&#34; my:2
&#34; name:1
&#34; natural:2
&#34; neck:1
&#34; new:1
&#34; nitro:1
&#34; no-fuss:1
&#34; non:1
&#34; non-skid:1
&#34; normal:1
&#34; novelty:1
&#34; now:1
&#34; of:1
&#34; off:1
&#34; oh:1
&#34; okay:1
&#34; on:10
&#34; option:1
&#34; options:1
&#34; or:5
&#34; original:1
&#34; out:1
&#34; output:1
&#34; overdrive:2
&#34; pairs:1
&#34; partially:1
&#34; parts:1
&#34; pedal:3
&#34; perfect:4
&#34; period:1
&#34; pick:2
&#34; picks:4
&#34; pickups:1
&#34; pics:1
&#34; piece:1
&#34; pinkie:1
&#34; pixie:1
&#34; plasticky:1
&#34; plates:1
&#34; plexi:1
&#34; plugs:1
&#34; plunk:1
&#34; plus:1
&#34; pocket:1
&#34; poor:1
&#34; pop:1
&#34; port:1
&#34; portable:1
&#34; position:1
&#34; pound:1
&#34; powder-y:1
&#34; power:1
&#34; powerful:1
&#34; pre:1
&#34; pressure:1
&#34; product:1
&#34; products:1
&#34; punch:1
&#34; put:1
&#34; quack:1
&#34; quality:1
&#34; quick:1
&#34; ready:1
&#34; real:3
&#34; regular:1
&#34; remember:1
&#34; restring:1
&#34; reverb:1
&#34; reviews:1
&#34; right:1
&#34; round-off:2
&#34; rubbery:1
&#34; sag:1
&#34; scale:1
&#34; scratchy:1
&#34; screw:1
&#34; seem:1
&#34; send-receive:1
&#34; sets:1
&#34; setting:5
&#34; settle:2
&#34; shaped:1
&#34; shark:1
&#34; short:1
&#34; silkscreened:1
&#34; sleepy:1
&#34; slide:1
&#34; small:2
&#34; smear:1
&#34; smell:1
&#34; so:4
&#34; soft:2
&#34; songs:1
&#34; sony:1
&#34; sort-of:1
&#34; sound:8
&#34; sound-sculpting:1
&#34; sound.so:1
&#34; sounding:2
&#34; sounds:1
&#34; speaker:2
&#34; speakers.the:1
&#34; splash:1
&#34; square:1
&#34; squashy:1
&#34; stale:1
&#34; stand:1
&#34; standard:1
&#34; state-of-the-art:1
&#34; static:1
&#34; stereo:1
&#34; stick:1
&#34; stomp:1
&#34; strap:1
&#34; string:4
&#34; strings:3
&#34; strumming:1
&#34; stuff:1
&#34; style:3
&#34; sweet:1
&#34; switch:1
&#34; tag:1
&#34; talk:1
&#34; techie:1
&#34; teeth:1
&#34; textured:1
&#34; that:5
&#34; the:12
&#34; then:1
&#34; these:1
&#34; thick:1
&#34; thing:2
&#34; this:1
&#34; threads:1
&#34; thumpy:1
&#34; tight:1
&#34; tighter:1
&#34; tinniness:1
&#34; tinny:2
&#34; to:13
&#34; tone:2
&#34; too:1
&#34; top:1
&#34; traditional:1
&#34; trails:1
&#34; tremolo:1
&#34; true:1
&#34; try:1
&#34; tube:1
&#34; tuning:3
&#34; twang:1
&#34; twist:1
&#34; two:1
&#34; type:1
&#34; uke:1
&#34; ukulele:6
&#34; under:1
&#34; v:1
&#34; version:1
&#34; very:1
&#34; vice:1
&#34; vintage:2
&#34; violin:1
&#34; wall:1
&#34; warm:1
&#34; warning:1
&#34; wasting:1
&#34; weathered:1
&#34; weird:1
&#34; well:2
&#34; wet:1
&#34; what:1
&#34; when:3
&#34; where:1
&#34; which:3
&#34; while:1
&#34; white:1
&#34; who:1
&#34; why:2
&#34; wide:2
&#34; width:1
&#34; will:1
&#34; wire:1
&#34; with:2
&#34; would:2
&#34; wow:2
&#34; x:2
&#34; yes:1
&#34; you:6
&#34; your:2
&#60; $:1
&#60; &#60;:2
&#60; 100:1
&#60; be:1
&#62; &#62;:2
&#62; 8khz:1
&#62; amp:1
&#62; cheap:1
&#62; eh:1
&#62; mx:1
&#62; simply:1
&#8203; simple:1
&#8211; 3:2
&#8211; although:1
&#8211; except:1
&#8211; i:2
&#8211; in:1
&#8211; it:2
&#8211; or:1
&#8211; there:1
&#8211; these:1
&#8211; they:1
&#8212; these:1
&#8216; broken:2
&#8216; klang:1
&#8216; new:2
&#8216; pink:1
&#8216; sweated:1
&#8216; virtual:1
&#8217; ,:1
&#8217; .:2
&#8217; addario:3
&#8217; d:2
&#8217; designed:1
&#8217; m:3
&#8217; re:3
&#8217; reputation:1
&#8217; s:8
&#8217; set:1
&#8217; t:2
&#8217; than:1
&#8217; to:1
&#8217; ve:7
&#8220; textured:1
&#8221; design:1
&#8221; thick:1
&#8230; i:1
&#8230; your:1
' #:1
' '':2
' ,:14
' -:2
' -lrb-:4
' -rrb-:3
' .:23
' ...:2
' 1:4
' 11:1
' 16s:1
' 2:1
' 4:1
' 57:1
' 80:1
' 84ish:1
' ::1
' </s>:1
' `:1
' a:3
' accommodates:1
' action:1
' adapter:1
' again:1
' along:1
' amp:1
' an:2
' and:9
' appearance:1
' are:2
' as:2
' at:1
' away:1
' awesome:1
' b:1
' balanced:1
' blues/rock:1
' bob:1
' box:1
' but:3
' cable:4
' cables:3
' cajun:1
' can:1
' capo:4
' capos:1
' case:1
' clock:1
' closest:1
' cord:1
' cords:2
' do:1
' drumhead:1
' e:2
' electric:1
' ends:1
' expect:1
' far:1
' fast:1
' fender:2
' finishes:1
' fold:1
' for:6
' force.we:1
' form:1
' from:3
' fun:1
' function:1
' germs:1
' give:1
' guitar:3
' guitars:1
' headphone:1
' huge:1
' i:4
' if:2
' in:3
' input:1
' instrument:1
' into:1
' is:2
' issue:2
' knobs:1
' length:3
' level:1
' long:1
' manual:1
' meant:1
' medium:1
' mentioned:1
' mess:1
' meters:1
' mic:1
' mike:1
' noise.the:1
' notes:1
' ns:1
' nylon:1
' o:3
' of:4
' on:3
' once:1
' one:1
' or:3
' ourselves:1
' pedal:3
' pedaltrain:1
' perfect.so:1
' picks:1
' play:1
' playfor:1
' position:1
' power:1
' practice:1
' products:1
' provides:1
' really:1
' right:2
' roses:1
' s:1
' score.all:1
' sets:1
' setting.i:1
' settings:1
' sharp:1
' signature:1
' since:1
' sites:1
' sitting:1
' situations:1
' sizing:1
' so:1
' stack:1
' stand:1
' stands:1
' stars:1
' strap:1
' string:2
' stuff:1
' super-handy:1
' sustain.they:1
' t:26
' tall:1
' textures:1
' that:5
' the:3
' thing:1
' things:1
' this:2
' tip:1
' to:12
' tone:3
' tool:1
' trade:1
' true:1
' tuner:1
' tuners:1
' turned:1
' twin:2
' type:1
' usage:1
' use:1
' v:2
' ve:1
' velcros:1
' version:1
' was:1
' way:1
' website:1
' with:2
' within:1
' works:1
' would:1
' xlr:3
' y:1
' you:1
'' !:1
'' &:1
'' '':1
'' +:1
'' ,:56
'' -:4
'' --:1
'' -24:1
'' -27:1
'' -41:1
'' -lrb-:9
'' -lsb-:1
'' -rrb-:20
'' .:57
'' ...:4
'' .340:1
'' /:1
'' ;:2
'' </s>:29
'' ?:1
'' ??:1
'' ``:3
'' a:2
'' ac/dc:1
'' accessory:1
'' acoustic:1
'' adapter:2
'' adaptors:1
'' add-on:1
'' addition:1
'' adjust:1
'' advertising:1
'' after:1
'' aka:1
'' allowing:1
'' amp:1
'' amplug.i:1
'' an:1
'' and:41
'' any:1
'' app:1
'' as:10
'' aspect:1
'' at:3
'' audio:1
'' aux:1
'' available:1
'' b212d:1
'' base:1
'' bass:2
'' battery:1
'' be:1
'' because:6
'' being:1
'' better:1
'' border:1
'' breakup:1
'' but:11
'' button:2
'' buttons:2
'' by:5
'' cable:1
'' cables:3
'' cabling:1
'' cakewalk:1
'' capo:2
'' cartoon:1
'' case:1
'' category:1
'' celestion:1
'' channel:1
'' channels:1
'' characteristics.i:1
'' chord:1
'' chorus:1
'' cleaning/polishing:1
'' click:1
'' closet:1
'' cloth:1
'' coated:1
'' coiled:1
'' color:1
'' coloration:1
'' come:1
'' comes:1
'' comments:1
'' compared:1
'' completely:1
'' complications:1
'' computer:1
'' contains:1
'' control:5
'' converter:1
'' cords:1
'' cushion:1
'' deep:1
'' design:2
'' desired:1
'' detached:1
'' device:1
'' diameter:2
'' does:1
'' double:1
'' drill:1
'' drywall:1
'' dual-cone:1
'' e:1
'' effect:5
'' effects:1
'' embroidered:1
'' etc.:1
'' even:1
'' ever:1
'' factor:1
'' fails:1
'' feature:1
'' featurehas:1
'' female:2
'' for:12
'' form:1
'' gauge:2
'' get:1
'' gig:1
'' going:1
'' gooseneck:3
'' grade:1
'' guitar:5
'' guitarist:1
'' guitarmisc:1
'' guitars:2
'' has:1
'' headphone:2
'' here:1
'' high:1
'' hole:1
'' holes:1
'' i:3
'' if:6
'' in:14
'' inch:1
'' inches:1
'' individual:1
'' input:1
'' inputs:1
'' instrument:3
'' into:1
'' is:14
'' it:8
'' items:1
'' jack:1
'' kind:1
'' knob:6
'' knobs:2
'' known:1
'' label:2
'' larger:1
'' lcd:1
'' length:2
'' less:1
'' light:1
'' like:2
'' line:3
'' lined:1
'' long:1
'' look:1
'' looks:1
'' low:1
'' male:2
'' manner:1
'' marketing:1
'' max:1
'' max.it:1
'' mechanism:1
'' metal:1
'' mic:2
'' microphone:2
'' mics:1
'' mode:2
'' model:2
'' model.the:1
'' modifications:1
'' monitors:1
'' mono:2
'' most:1
'' muchharder:1
'' narrower:1
'' neck:1
'' neoprene:1
'' never:1
'' nickel:1
'' noise:2
'' now:2
'' ns:1
'' of:15
'' off:2
'' on:12
'' ones:1
'' or:12
'' otherwise:1
'' over:2
'' overdrive:4
'' pack:1
'' package:1
'' padded:1
'' pedal:5
'' pedals:3
'' pedalwould:1
'' phone:3
'' phonemes:1
'' pick:1
'' picks:7
'' piece:1
'' plastic:2
'' played:1
'' playing:1
'' plug:3
'' plug.it:1
'' plugs:1
'' pop:1
'' popping:1
'' posters:1
'' power:3
'' powered:2
'' preset:1
'' price:1
'' principle:1
'' problems:1
'' product:1
'' purchase.i:1
'' purchases:1
'' pushing:1
'' quality:2
'' range:1
'' rather:1
'' recall:1
'' refers:1
'' requiring:1
'' review:1
'' rock:1
'' screens:1
'' secure:1
'' seemed:1
'' series:1
'' setting:3
'' settings:2
'' shaped:1
'' should:1
'' shrunk:1
'' side:2
'' signal:1
'' single:1
'' situation:1
'' size:3
'' smaller:1
'' so:2
'' software:1
'' something:1
'' sound:18
'' sounds:4
'' space.overall:1
'' speaker:7
'' speakera:1
'' speakers:5
'' specialty:1
'' stand:1
'' standard:1
'' stereo:2
'' sticker:1
'' storage:1
'' strap:3
'' straps:2
'' string:3
'' strings:3
'' stuff:1
'' style:1
'' surface:1
'' switch:2
'' tab:1
'' tall:1
'' texture:1
'' than:5
'' that:5
'' the:10
'' them:2
'' these:1
'' thick:1
'' thickness:1
'' thing:2
'' things:1
'' thinking:1
'' this:3
'' thumps:1
'' tint:1
'' to:14
'' today:1
'' tone:4
'' tones:1
'' too:1
'' top:2
'' trs:4
'' ts:2
'' tuner:3
'' tuners:1
'' tuning:2
'' tweeter:1
'' type:6
'' underneath:1
'' unless:1
'' until:1
'' up:1
'' usb:2
'' used:1
'' variety:1
'' vendor:1
'' version:3
'' version.well:1
'' very:1
'' vocals:1
'' vowels:1
'' was:1
'' website:1
'' wedgies:1
'' were:2
'' when:5
'' which:4
'' who:1
'' wide:1
'' will:2
'' wind:2
'' with:6
'' woofer:1
'' work:1
'' worth:1
'' would:2
'' x:4
'' xl:1
'' yer:1
'' you:3
'' your:1
'10 mim:1
'57 champ:1
'57 reissue:1
'59 bassman:1
'59 fender:1
'60s when:1
'65 deluxe:1
'65 fender:1
'65 reverb:1
'65 twin:2
'67 usa:1
'77 gibson:1
'78 badass:1
'78 distortion:1
'80s .:1
'80s alt-rock:1
'cause i:2
'd ':1
'd -rrb-:1
'd actually:1
'd allways:1
'd almost:1
'd also:3
'd always:1
'd amp:1
'd anyway.one:1
'd argue:1
'd be:24
'd been:7
'd best:1
'd bet:1
'd better:3
'd bought:3
'd buy:20
'd cab:1
'd call:1
'd care:1
'd come:1
'd consider:3
'd correctly:1
'd definitely:6
'd describe:2
'd encourage:1
'd even:2
'd ever:6
'd expect:8
'd expect.appearance:1
'd feel:1
'd figure:1
'd find:1
'd fix:1
'd for:1
'd forgotten:1
'd get:6
'd gig:1
'd give:9
'd go:4
'd gone:1
'd gorilla:1
'd gotten:3
'd have:17
'd heard:1
'd highly:1
'd hoped:3
'd imagine:1
'd just:3
'd keep:1
'd learn:1
'd like:29
'd like.i:1
'd like.this:1
'd look:1
'd lost:1
'd love:3
'd mention:1
'd much:2
'd need:1
'd never:2
'd normally:1
'd notice.as:1
'd often:1
'd only:1
'd order:2
'd ordered:1
'd out:1
'd owned:1
'd pay:6
'd permanently:1
'd pinch:1
'd play:1
'd prefer:4
'd press:2
'd probably:3
'd purchase:2
'd put:1
'd rarely:1
'd rate:3
'd rather:16
'd read:1
'd really:1
'd recommend:20
'd replace:2
'd save:1
'd say:21
'd see:1
'd seen:1
'd seriously:1
'd set:1
'd shell:1
'd show:1
'd skip:1
'd spend:1
'd stick:3
'd stil:1
'd still:2
'd submit:1
'd suggest:6
'd swear:2
'd switched:1
'd take:2
'd think:4
'd to:1
'd truly:1
'd trust:1
'd try:6
'd turn:1
'd up:1
'd use:5
'd wager:1
'd want:6
'd wanted:1
'd work:2
'd worry:1
'em ,:2
'em --:1
'em .:3
'em a:2
'em again.bottom:1
'em all:1
'em and:1
'em down:1
'em in:2
'em myself:1
'em neither:1
'em on:1
'em out:1
'll add:4
'll admit:1
'll agree:1
'll also:3
'll always:1
'll appreciate:2
'll be:47
'll begin:1
'll bet:1
'll block:2
'll boost:1
'll buy:7
'll call:1
'll change:3
'll check:1
'll chose:1
'll come:2
'll confess:1
'll cost:1
'll decide:1
'll definitely:5
'll dig:1
'll do:7
'll echo:1
'll edit:1
'll either:2
'll encounter:1
'll end:2
'll especially:1
'll ever:8
'll experiment:1
'll feel:1
'll find:11
'll fit:1
'll fry:1
'll get:26
'll give:6
'll gladly:3
'll go:2
'll hand:1
'll have:20
'll hear:2
'll help:1
'll hold:3
'll hopefully:1
'll imagine:1
'll just:11
'll keep:11
'll know:5
'll last:5
'll leave:1
'll let:1
'll like:3
'll likely:2
'll look:1
'll love:8
'll lower:1
'll make:4
'll manage:1
'll more:1
'll most:1
'll need:16
'll never:11
'll not:1
'll notice:4
'll only:2
'll order:1
'll pay:1
'll perform:1
'll play:1
'll point:1
'll post:2
'll probably:26
'll protect:1
'll put:2
'll quickly:1
'll rate:1
'll re:1
'll really:2
'll recognize:2
'll regret:1
'll replace:1
'll report:1
'll ruin:1
'll save:1
'll see:18
'll sell:1
'll shut:1
'll soon:2
'll sound:4
'll spend:2
'll start:4
'll stay:2
'll stick:6
'll still:7
'll sum:1
'll take:3
'll talk:1
'll thank:1
'll think:1
'll try:10
'll tumble:1
'll turn:1
'll understand:1
'll update:13
'll use:18
'll wait:2
'll want:7
'll wear:1
'll wind:2
'll wish:1
'll wonder:1
'll work:1
'll yall:1
'm 34:1
'm 5:1
'm 5ft:1
'm 6:3
'm a:71
'm able:3
'm about:1
'm absolutely:1
'm accustomed:2
'm actually:3
'm adjusting:2
'm afraid:3
'm all:3
'm almost:1
'm already:3
'm also:8
'm always:4
'm amazed:3
'm an:10
'm another:1
'm anticipating:1
'm at:2
'm back:2
'm being:1
'm betting:1
'm borderline:1
'm breaking:1
'm building:1
'm buying:7
'm careful:1
'm certainly:2
'm changing:1
'm comfortable:1
'm committed:1
'm completely:4
'm concerned:2
'm conducting:1
'm confident:3
'm confused:1
'm constantly:1
'm content:1
'm convinced:2
'm cool:1
'm covered:2
'm crossing:1
'm currently:4
'm debating:1
'm definitely:3
'm doing:3
'm done:5
'm done.please:1
'm dying:1
'm either:1
'm enjoying:1
'm expecting:1
'm experiencing:1
'm exploring:1
'm extremely:6
'm feel:1
